"File Names",Article,References,Reviewer,Category,"String Cite"
"Science 01","W. A. Benalcazar, B. A. Bernevig and T. L. Hughes	2017	Quantized electric multipole insulators		Science			357		6346	61-66					Jul			Quantized electric multipole insulators		0036-8075												WOS:000416909500003					Times Cited: 123","     Turner AM, 2012, PHYS REV B, V85, DOI 10.1103/PhysRevB.85.165120",Aaron,"Fully Substantiated",Yes
"Science 02","J. Y. Cao, J. S. Packer, V. Ramani, D. A. Cusanovich, C. Huynh, R. Daza, X. Qiu, C. Lee, S. N. Furlan, F. J. Steemers, A. Adey, R. H. Waterston, C. Trapnell and J. Shendure	2017	Comprehensive single-cell transcriptional profiling of a multicellular organism		Science			357		6352	661-667					Aug			Comprehensive single-cell transcriptional profiling of a multicellular organism		0036-8075												WOS:000407793600029					Times Cited: 116","     Wills QF, 2013, NAT BIOTECHNOL, V31, P748, DOI 10.1038/nbt.2642",Neal,"Fully Substantiated",yes
"Science 03","K. V. Cashman, R. S. J. Sparks and J. D. Blundy	2017	VOLCANOLOGY Vertically extensive and unstable magmatic systems: A unified view of igneous processes		Science			355		6331						Mar			VOLCANOLOGY Vertically extensive and unstable magmatic systems: A unified view of igneous processes		0036-8075										eaag3055		WOS:000397082900027					Times Cited: 94","     Boorman SL, 2003, MINER DEPOSITA, V38, P356, DOI 10.1007/s00126-002-0312-5",Aaron,"Partially Substantiated",No
"Science 04","K. V. Cashman, R. S. J. Sparks and J. D. Blundy	2017	VOLCANOLOGY Vertically extensive and unstable magmatic systems: A unified view of igneous processes		Science			355		6331						Mar			VOLCANOLOGY Vertically extensive and unstable magmatic systems: A unified view of igneous processes		0036-8075										eaag3055		WOS:000397082900027					Times Cited: 94","     Cooper GF, 2014, LITHOS, V198, P38, DOI 10.1016/j.lithos.2014.03.014",Neal,"Fully Substantiated",No
"Science 05","K. V. Cashman, R. S. J. Sparks and J. D. Blundy	2017	VOLCANOLOGY Vertically extensive and unstable magmatic systems: A unified view of igneous processes		Science			355		6331						Mar			VOLCANOLOGY Vertically extensive and unstable magmatic systems: A unified view of igneous processes		0036-8075										eaag3055		WOS:000397082900027					Times Cited: 94","     Sanfilippo A, 2015, LITHOS, V232, P124, DOI 10.1016/j.lithos.2015.06.025",Aaron,"Fully Substantiated",Yes
"Science 06","J. Choi and G. C. Fu	2017	Transition metal-catalyzed alkyl-alkyl bond formation: Another dimension in cross-coupling chemistry		Science			356		6334						Apr			Transition metal-catalyzed alkyl-alkyl bond formation: Another dimension in cross-coupling chemistry		0036-8075										eaaf7230		WOS:000399013800025					Times Cited: 96","     CASTLE PL, 1986, TETRAHEDRON LETT, V27, P6013, DOI 10.1016/S0040-4039(00)85386-1",Neal,"Fully Substantiated",Yes
"Science 07","R. P. Dias and I. F. Silvera	2017	Observation of the Wigner-Huntington transition to metallic hydrogen		Science			355		6326	715-718					Feb			Observation of the Wigner-Huntington transition to metallic hydrogen		0036-8075												WOS:000395117700034					Times Cited: 113","     Borinaga M, 2016, PHYS REV B, V93, DOI 10.1103/PhysRevB.93.174308",Aaron,"Fully Substantiated",Yes
"Science 08","C. S. Diercks and O. M. Yaghi	2017	The atom, the molecule, and the covalent organic framework		Science			355		6328						Mar			The atom, the molecule, and the covalent organic framework		0036-8075										eaal1585		WOS:000395181700031					Times Cited: 297","     Guo J, 2013, NAT COMMUN, V4, DOI 10.1038/ncomms3736",Neal,"Fully Substantiated",Yes
"Science 09","C. S. Diercks and O. M. Yaghi	2017	The atom, the molecule, and the covalent organic framework		Science			355		6328						Mar			The atom, the molecule, and the covalent organic framework		0036-8075										eaal1585		WOS:000395181700031					Times Cited: 308","     Leigh DA, 2014, NAT CHEM, V6, P978, DOI [10.1038/NCHEM.2056, 10.1038/nchem.2056]",Aaron,"Fully Substantiated",Yes
"Science 10","C. S. Diercks and O. M. Yaghi	2017	The atom, the molecule, and the covalent organic framework		Science			355		6328						Mar			The atom, the molecule, and the covalent organic framework		0036-8075										eaal1585		WOS:000395181700031					Times Cited: 343","     Yaghi OM, 2003, NATURE, V423, P705, DOI 10.1038/nature01650",Neal,"Fully Substantiated",Yes
"Science 11","S. A. Eming, T. A. Wynn and P. Martin	2017	Inflammation and metabolism in tissue repair and regeneration		Science			356		6342	1026-1030					Jun			Inflammation and metabolism in tissue repair and regeneration		0036-8075												WOS:000402871700041					Times Cited: 102","     Goh YPS, 2013, P NATL ACAD SCI USA, V110, P9914, DOI 10.1073/pnas.1304046110",Aaron,Unsubstantiated,No
